product_id,price_inr,energy_rating_stars,warranty_years,capacity_unified,price_density_score,warranty_quality_interaction,city,platform,reviewer_location,availability,product_category,sub_type,model_name,capacity_tons,capacity_liters,capacity_kg,capacity_place_settings,technology,feature_1,color,manufacturing_date,customer_rating,discount_offered,warranty_duration_months,review_sentiment,return_status,complaint_text,resolved_status,review_date,product_name,username
PID346527,58059.0,3.0,10.0,1.5 Tons,38705.9741960172,44.0,Pune,Vijay Sales,Delhi,Out of Stock,Refrigerator,Double Door,Model_O66,1.5,180.0,7.0,12.0,Frost Free,StoreFresh+,White,2022-01-24,4.4,20.0,120.0,Neutral,Returned,Cooling issue after 2 months.,Resolved,2022-09-27,Voltas Double Door Refrigerator (Model_O66),nisha.online161
PID793383,67550.0,4.0,10.0,1.5 Tons,45033.30331113113,39.0,Hyderabad,Croma,Chennai,Out of Stock,Refrigerator,Double Door,Model_D185,1.5,450.0,7.0,12.0,Direct Cool,NeoFrost Dual Cooling,White,2023-09-24,3.9,0.0,120.0,Negative,Returned,Remote stopped working.,Resolved,2024-05-06,Voltas Double Door Refrigerator (Model_D185),rohit_shop3
PID529234,27871.0,1.0,5.0,1.5 Tons,18580.654279563816,20.0,Chennai,Vijay Sales,Bangalore,In Stock,Dishwasher,Full Size,Model_C470,1.5,50.0,7.0,14.0,Electronic Control,ProSmart Inverter Motor,White,2024-03-28,4.0,30.0,60.0,Positive,Returned,Slow installation service.,In Progress,2023-06-24,Voltas Full Size Dishwasher (Model_C470),rajesh_shop1
PID552702,29024.0,1.0,10.0,1.5 Tons,19349.32043378638,31.0,Pune,Flipkart,Chennai,In Stock,Refrigerator,Double Door,Model_U332,1.5,450.0,7.0,12.0,Direct Cool,Active Fresh Blue Light,Grey,2022-08-01,3.1,30.0,120.0,Neutral,Not Returned,Excellent performance.,Resolved,2023-10-25,Voltas Double Door Refrigerator (Model_U332),sanjay_reviews74
PID388769,67546.0,5.0,1.0,1.2 Tons,56288.28642642799,4.0,Hyderabad,Amazon,Pune,Out of Stock,Air Conditioner,Bottom Loading,Model_P197,1.2,50.0,7.0,12.0,Inverter,Self Diagnosis,Grey,2023-10-07,4.0,10.0,12.0,Positive,Not Returned,Noisy operation at night.,Unresolved,2024-03-08,Voltas Inverter AC Air Conditioner (Model_P197),divya.india8
PID766792,66697.0,1.0,1.0,1.5 Tons,44464.63702357532,3.8,Chennai,Vijay Sales,Bangalore,In Stock,Dishwasher,Full Size,Model_K348,1.5,50.0,7.0,15.0,Electronic Control,ProSmart Inverter Motor,Grey,2023-09-02,3.8,20.0,12.0,Negative,Not Returned,Delivered with damaged packaging.,In Progress,2023-09-19,Voltas Full Size Dishwasher (Model_K348),arjun.express236
PID482383,83240.0,1.0,2.0,1.5 Tons,55493.29633780244,9.6,Pune,Croma,Pune,Out of Stock,Dishwasher,Full Size,Model_R95,1.5,50.0,7.0,8.0,Electronic Control,ProSmart Inverter Motor,Blue,2022-02-07,4.8,15.0,24.0,Negative,Not Returned,Slow installation service.,Resolved,2024-03-18,Voltas Full Size Dishwasher (Model_R95),priya_india1
PID908455,48993.0,2.0,2.0,1.5 Tons,32661.97822534785,9.2,Delhi,Amazon,Hyderabad,Out of Stock,Dishwasher,Table Top,Model_K478,1.5,50.0,7.0,15.0,Electronic Control,AquaIntense,Blue,2024-04-23,4.6,30.0,24.0,Neutral,Returned,Slow installation service.,Resolved,2022-01-18,Voltas Table Top Dishwasher (Model_K478),priya_online2
PID778166,27798.0,3.0,10.0,1.5 Tons,18531.98764534157,46.0,Mumbai,Amazon,Chennai,In Stock,Air Cooler,Tower,Model_H241,1.5,70.0,7.0,12.0,Evaporative Cooling,Honeycomb Pads,Black,2022-06-24,4.6,5.0,120.0,Positive,Returned,Cooling issue after 2 months.,Resolved,2022-11-10,Voltas TowerA ir Cooler (Model_H241),seema76
PID850515,27162.0,5.0,5.0,1.5 Tons,18107.98792800805,18.0,Delhi,Flipkart,Ahmedabad,In Stock,Water Dispenser,Bottom Loading,Model_A208,1.5,15.0,7.0,12.0,Compressor Cooling,Normal & Cold,Silver,2022-03-28,3.6,0.0,60.0,Neutral,Returned,Noisy operation at night.,In Progress,,Voltas Bottom Loading Water Dispenser (Model_A208),rohit.9
