product_id,product_category,sub_type,model_name,capacity_tons,capacity_liters,capacity_kg,capacity_place_settings,technology,feature_1,energy_rating_stars,color,price_inr,manufacturing_date,warranty_years,customer_rating,platform,discount_offered,warranty_duration_months,review_sentiment,return_status,complaint_text,resolved_status,review_date,reviewer_location,product_name,username,capacity_unified,price_density_score,warranty_quality_interaction
PID223368,Washing Machine,Front Load,Model_Q146,1.5,50.0,7.0,12.0,Semi-Automatic,GentleWave Drum,4.0,Blue,33923.0,2024-01-12,10.0,3.6,Flipkart,0.0,120.0,Neutral,Returned,Slow installation service.,Unresolved,2022-05-15,Mumbai,Voltas Front Load Washing Machine (Model_Q146),nehareviews343,1.5 Tons,22615.3182564545,36.0
PID422924,Refrigerator,Single Door,Model_A26,1.5,250.0,7.0,12.0,Direct Cool,Active Fresh Blue Light,4.0,White,35161.0,2022-06-29,5.0,4.2,Amazon,20.0,60.0,Negative,Not Returned,Delivered with damaged packaging.,Resolved,2023-05-19,Mumbai,Voltas Single Door Refrigerator (Model_A26),mukeshindia093,1.5 Tons,23440.65103956597,21.0
PID284044,Dishwasher,Table Top,Model_M480,1.5,50.0,7.0,12.0,Electronic Control,AquaIntense,3.0,White,83505.0,2024-05-14,5.0,3.1,Croma,25.0,60.0,Neutral,Not Returned,Delivered with damaged packaging.,Resolved,2023-11-13,Mumbai,Voltas Table Top Dishwasher (Model_M480),rajesh_879,1.5 Tons,55669.96288669141,15.5
PID228313,Dishwasher,Full Size,Model_U358,1.5,50.0,7.0,12.0,Electronic Control,ProSmart Inverter Motor,4.0,Black,59371.0,2022-12-14,1.0,4.4,Croma,0.0,12.0,Positive,Not Returned,Excellent performance.,Unresolved,2022-11-09,Ahmedabad,Voltas Full Size Dishwasher (Model_U358),arjunindia527,1.5 Tons,39580.64027957315,4.4
PID944188,Washing Machine,Top Load,Model_A312,1.5,50.0,8.0,12.0,Semi-Automatic,GentleWave Drum,3.0,Silver,47260.0,2024-02-15,1.0,4.0,Amazon,30.0,12.0,Positive,Not Returned,Noisy operation at night.,Unresolved,2022-10-09,Ahmedabad,Voltas Top Load Washing Machine (Model_A312),deepa.63,1.5 Tons,31506.645662236228,4.0
PID236173,Washing Machine,Front Load,Model_O144,1.5,50.0,9.0,12.0,Semi-Automatic,GentleWave Drum,4.0,Black,58058.0,2022-10-16,1.0,4.4,Amazon,15.0,12.0,Neutral,Not Returned,Cooling issue after 2 months.,Unresolved,2022-01-25,Mumbai,Voltas Front Load Washing Machine (Model_O144),anil.21,1.5 Tons,38705.30752979498,4.4
PID924913,Washing Machine,Front Load,Model_Z51,1.5,50.0,6.5,12.0,Compressor Cooling,ProSmart Inverter Motor,3.0,Blue,37984.0,2023-09-07,2.0,4.4,Vijay Sales,5.0,24.0,Positive,Not Returned,Excellent performance.,Resolved,2023-02-21,Hyderabad,Voltas Front Load Washing Machine (Model_Z51),vinod_6,1.5 Tons,25322.649784900143,8.8
PID102241,Water Dispenser,Bottom Loading,Model_Z493,1.5,15.0,7.0,12.0,Compressor Cooling,"Hot, Normal & Cold",4.0,Silver,82249.0,2023-05-12,10.0,4.0,Amazon,30.0,120.0,Neutral,Returned,No issues so far.,Resolved,2022-09-01,Delhi,Vlotas Single Door Refrigerator (Model_N325),mohan_3,1.5 Tons,54832.63011157993,40.0
PID775789,Air Conditioner,Split AC,Model_H293,1.5,50.0,7.0,12.0,Non-Inverter,Turbo Mode,3.0,Silver,10150.0,2023-01-17,1.0,3.3,Amazon,15.0,24.0,Negative,Returned,Noisy operation at night.,In Progress,2022-06-26,Hyderabad,Voltas Split AC Air Conditioner (Model_H293),ajay.user326,1.5 Tons,6766.662155558563,3.3
PID620194,Water Dispenser,Top Loading,Model_P249,1.5,15.0,7.0,12.0,Compressor Cooling,Hot & Cold,5.0,Grey,35936.0,2022-11-09,1.0,4.6,Amazon,15.0,12.0,Negative,Returned,Delivered with damaged packaging.,Resolved,2022-09-09,Chennai,Voltas Top Loading Water Dispenser (Model_P249),ajay.express166,1.5 Tons,23957.317361788428,4.6
PID131574,Refrigerator,Double Door,Model_B1,1.5,450.0,7.0,12.0,Direct Cool,StoreFresh+,4.0,Silver,58959.0,2023-06-29,10.0,4.1,Amazon,30.0,120.0,Negative,Not Returned,Cooling issue after 2 months.,Resolved,2023-05-27,Delhi,Voltas Double Door Refrigerator (Model_B1),rohit.shop608,1.5 Tons,39305.97379601747,41.0
PID204092,Dishwasher,Full Size,Model_M64,1.5,50.0,7.0,15.0,Electronic Control,AquaIntense,3.0,Black,42718.0,2022-05-30,5.0,3.8,Flipkart,25.0,60.0,Neutral,Returned,Excellent performance.,Unresolved,2024-06-13,Chennai,Voltas Full Size Dishwasher (Model_M64),deepakart006,1.5 Tons,28478.647680901548,19.0
PID455943,Air Cooler,Tower,Model_X387,1.5,90.0,7.0,12.0,Evaporative Cooling,Honeycomb Pads,3.0,Blue,79830.0,2023-05-28,1.0,5.0,Amazon,15.0,12.0,Neutral,Returned,Slow installation service.,In Progress,2024-02-04,Delhi,Voltas Tower Air Cooler (Model_X387),komalzone601,1.5 Tons,53219.964520023655,5.0
PID128554,Dishwasher,Table Top,Model_P145,1.5,50.0,7.0,15.0,Electronic Control,AquaIntense,4.0,White,10532.0,2023-06-04,1.0,3.1,Amazon,0.0,12.0,Positive,Not Returned,Slow installation service.,Unresolved,2022-03-31,Pune,Voltas Table Top Dishwasher (Model_P145),deepa.india1,1.5 Tons,7021.328652447565,3.1
PID495003,Air Conditioner,Inverter AC,Model_A0,1.2,50.0,7.0,12.0,Inverter,Adjustable Cooling,3.0,White,9373.0,2023-11-30,2.0,4.9,Vijay Sales,0.0,24.0,Neutral,Not Returned,Slow installation service.,Unresolved,2023-02-03,Mumbai,Voltas Inverter AC Air Conditioner (Model_X257),shilpareviews70,1.2 Tons,7810.826824310981,9.8
PID793383,Refrigerator,Double Door,Model_D185,1.5,450.0,7.0,12.0,Direct Cool,NeoFrost Dual Cooling,4.0,White,67550.0,2023-09-24,10.0,3.9,Croma,0.0,120.0,Negative,Returned,Remote stopped working.,Resolved,2024-05-06,Chennai,Voltas Double Door Refrigerator (Model_D185),rohit_shop3,1.5 Tons,45033.30331113113,39.0
PID405350,Refrigerator,Side-by-Side,Model_T435,1.5,250.0,7.0,12.0,Frost Free,ProSmart Inverter Motor,2.0,Blue,21731.0,2024-03-05,5.0,3.2,Vijay Sales,5.0,60.0,Negative,Not Returned,Cooling issue after 2 months.,In Progress,,Delhi,Voltas Side-by-Side Refrigerator (Model_T435),suresh_reviews340,1.5 Tons,14487.32367511755,16.0
PID791218,Water Dispenser,Bottom Loading,Model_X127,1.5,15.0,7.0,12.0,Compressor Cooling,Normal & Cold,5.0,Silver,83682.0,2022-05-25,1.0,4.0,Flipkart,25.0,12.0,Neutral,Not Returned,Slow installation service.,Resolved,2023-06-02,Mumbai,Voltas Bottom Loading Water Dispenser (Model_X127),nehaexpress42,1.5 Tons,55787.9628080248,4.0
PID659819,Refrigerator,Single Door,Model_H163,1.5,450.0,7.0,12.0,Direct Cool,Active Fresh Blue Light,2.0,Blue,74966.0,2022-07-09,2.0,4.0,Croma,5.0,24.0,Neutral,Not Returned,Delivered with damaged packaging.,Resolved,2022-12-04,Chennai,Voltas Single Door Refrigerator (Model_H163),poojaindia13,1.5 Tons,49977.300015133325,8.0
PID661205,Air Cooler,Personal,Model_K296,1.5,20.0,7.0,12.0,Evaporative Cooling,ProSmart Inverter Motor,3.0,White,36380.0,2022-01-16,5.0,3.9,Croma,15.0,60.0,Positive,Not Returned,Cooling issue after 2 months.,In Progress,2023-01-29,Hyderabad,Voltas Personal Air Cooler (Model_K296),mohankart81,1.5 Tons,24253.317164455224,19.5
PID486753,Water Dispenser,Bottom Loading,Model_T201,1.5,15.0,7.0,12.0,Compressor Cooling,Hot & Cold,1.0,Grey,11558.0,2023-11-23,2.0,3.2,Flipkart,25.0,60.0,Negative,Returned,Delivered with damaged packaging.,Unresolved,2023-03-09,Ahmedabad,Voltas Bottom Loading Water Dispenser (Model_T201),suresh_33,1.5 Tons,7705.328196447869,6.4
PID261240,Washing Machine,Top Load,Model_U254,1.5,50.0,6.5,12.0,Semi-Automatic,ProSmart Inverter Motor,5.0,White,10010.0,2023-12-28,1.0,3.2,Flipkart,15.0,12.0,Negative,Not Returned,Excellent performance.,Unresolved,2022-09-06,Chennai,Vlotas Single Door Refrigerator (Model_N325),komal.india41,1.5 Tons,6673.328884447411,3.2
PID487013,Water Dispenser,Bottom Loading,Model_E160,1.5,20.0,7.0,12.0,Compressor Cooling,Normal & Cold,2.0,Silver,41726.0,2022-10-03,1.0,3.2,Amazon,10.0,12.0,Neutral,Not Returned,Excellent performance.,Resolved,2023-05-17,Hyderabad,Voltas Bottom Loading Water Dispenser (Model_E160),preeti.5,1.5 Tons,27817.31478845681,3.2
PID479328,Water Dispenser,Bottom Loading,Model_D367,1.5,15.0,7.0,12.0,Compressor Cooling,Hot & Cold,2.0,White,45548.0,2024-04-22,2.0,4.0,Croma,0.0,60.0,Neutral,Not Returned,Delivered with damaged packaging.,Unresolved,2022-08-15,Delhi,Voltas Bottom Loading Water Dispenser (Model_D367),neha.9,1.5 Tons,30365.313089791274,8.0
PID948978,Air Conditioner,Window AC,Model_I450,1.5,50.0,7.0,12.0,Non-Inverter,Turbo Mode,1.0,Black,77367.0,2023-11-09,10.0,4.9,Amazon,5.0,120.0,Positive,Not Returned,Delivered with damaged packaging.,In Progress,2024-05-23,Mumbai,Voltas Window AC Air Conditioner (Model_I450),ajay.5,1.5 Tons,51577.9656146896,49.0
PID123695,Air Conditioner,Split AC,Model_S44,2.0,50.0,7.0,12.0,Non-Inverter,Turbo Mode,3.0,White,36482.0,2023-01-31,5.0,3.7,Amazon,15.0,60.0,Positive,Returned,No issues so far.,Resolved,2022-01-01,Pune,Voltas Split AC AirC onditioner (Model_S44),vikas.shop498,2.0 Tons,18240.99087950456,18.5
PID696217,Refrigerator,Single Door,Model_C106,1.5,180.0,7.0,12.0,Frost Free,StoreFresh+,2.0,Grey,84786.0,2022-09-24,5.0,4.7,Flipkart,15.0,60.0,Neutral,Returned,Noisy operation at night.,In Progress,2022-05-24,Hyderabad,Voltas Single Door Refrigerator (Model_C106),vikas.4,1.5 Tons,56523.962317358455,23.5
PID276650,Dishwasher,Table Top,Model_X335,1.5,50.0,7.0,14.0,Electronic Control,ProSmart Inverter Motor,3.0,Grey,48040.0,2023-06-16,1.0,4.5,Croma,15.0,12.0,Neutral,Not Returned,Noisy operation at night.,In Progress,2022-06-04,Hyderabad,Voltas Table Top Dishwasher (Model_X335),amitreviews742,1.5 Tons,32026.645315569796,4.5
PID800651,Air Conditioner,Split AC,Model_I112,1.5,50.0,7.0,12.0,Non-Inverter,Adjustable Cooling,3.0,Grey,82933.0,2023-10-04,1.0,4.3,Vijay Sales,30.0,12.0,Positive,Not Returned,Delivered with damaged packaging.,In Progress,2023-05-26,Delhi,Voltas Split AC Air Conditioner (Model_I112),anita_india190,1.5 Tons,55288.62980758013,4.3
PID371496,Refrigerator,Bottom Loading,Model_I320,1.5,15.0,7.0,12.0,Compressor Cooling,Hot & Cold,3.0,Grey,54978.0,2022-06-07,10.0,3.6,Amazon,5.0,120.0,Neutral,Not Returned,Delivered with damaged packaging.,In Progress,,Chennai,Voltas Bottom Loading Water Dispenser (Model_I320),preeti.98,1.5 Tons,36651.975565349625,36.0
